qc_id,fid,grad,ime,oddaljenost od jedra,površina etaže,zanesljivost lokacije,zanesljivost oznake,datacija,povezava do objave,icon_url
"0","1",GAMBERK,Laz,390 m,95 m2,Zanesljiva,Verjetna,,https://najdisca.eu/gamberk/,./0.png
"1","2",MEHOVO,Štrc,420 m,,Zanesljiva,Zanesljiva,,,./0.png
"2","3",MEHOVO,Vrh,760 m,,Zanesljiva,Zanesljiva,,,./0.png
"3","4",OSTERBERG,Stari grad,1050 m,50 m2,Zanesljiva,Verjetna,,,./0.png
"4","5",PABŠTAJN,Verdenik,640 m,,Zanesljiva,Zanesljiva,,,./0.png
"5","6",PLOŠTANJ,Piškov hrib,1200 m,,Zanesljiva,Zanesljiva,,,./0.png
"6","7",PLOŠTANJ,Puša,1100 m,,Zanesljiva,Verjetna,,,./0.png
"7","8",RANŠPERK,"Likastok, Leder štok",320 m,,Zanesljiva,Zanesljiva,,,./0.png
"8","9",ŠTATENBERG,Kota 447,420 m,,Zanesljiva,Zanesljiva,,,./0.png
"9","10",STOPNIK,Tudruš,830 m,,Zanesljiva,Zanesljiva,,,./0.png
"10","11",TURJAK,"Spodnji Turjak, Stari grad",200 m,,Zanesljiva,Zanesljiva,,,./0.png
"11","12",VIKUMBERG,Punjert,450 m,,Zanesljiva,Zanesljiva,,,./0.png
"12","13",FALKENBERG,Oklučje,500 m,,Zanesljiva,Zanesljiva,,,./0.png
"13","14",FALKENBERG,Stari grad,620 m,,Zanesljiva,Zanesljiva,,,./0.png
"14","15",KOZJE,,260 m,,Verjetna,Verjetna,,,./0.png
"15","16",PODSREDA,Turnič,430 m,,Zanesljiva,Zanesljiva,,,./0.png
"16","17",PODSREDA,"""Vzhodna utrdba""",750 m,,Zanesljiva,Verjetna,,,./0.png
"17","18",PODSREDA,Gradišče,1100 m,,Verjetna,Domnevna,,,./0.png
